"year","province","MR","DR","POP","GDP","INC","CON","CPI","HEET","HP","UR","GR","SAV","MN","DN","GDPC","SAVPG"
2012,"上海市",0.0121176470588235,0.00443697478991597,2380,20181.72,37225.4713333286,27713.6299999971,102.8,3481,13869.88,3.1,8.78,19506.7,14.42,5.28,8.47971428571429,0.966552900347443
2018,"宁夏回族自治区",0.0178609496124031,0.00638485142118872,688,3705.18,22400.42,16715.09,102.3,2432.02777777778,4434.0236111111,3.76944444444445,1.93684210526317,2988.02952380967,6.14416666666666,2.19638888888892,5.38543604651163,0.806446521845004
2010,"甘肃省",0.01109375,0.0021875,2560,4120.75,7002.40561904572,5429.66676190309,104.1,1882,2938,3.2,6.27383458646602,3598.2,14.2,2.8,1.60966796875,0.873190559970879
2013,"福建省",0.0209803921568627,0.00437731849496555,3774,21868.49,21217.95,16176.63,102.5,2435,8618,3.6,7.89,11847.3,39.59,8.26,5.7945124536301,0.541752082562628
2014,"北京市",0.0157992565055762,0.00609665427509294,2152,21330.83,44488.57,31102.89,101.6,5429,18499,1.3,2.23999999999999,24158.4,17,6.56,9.91209572490706,1.13255789859091
2016,"北京市",0.0152968246663599,0.00973768982972849,2173,25669.13,52530.38,35415.75,101.4,5028,28489,1.4,5.84999999999999,28012,16.62,10.58,11.8127611596871,1.09127188961994
2012,"广东省",0.0164376061921843,0.00293373607702473,10594,57067.92,20711.8253333317,15739.370666665,102.8,2082,7667.89,2.5,11.94,45533.8,87.07,15.54,5.38681517840287,0.797887850126656
2015,"重庆市",0.0193967517401392,0.00910175671196553,3017,15717.27,20110.11,15139.54,101.3,3071,5012,3.6,0.599999999999994,12207.3,29.26,13.73,5.20956910838581,0.776680683095728
2012,"云南省",0.0180081562567074,0.00352436145095514,4659,10309.47,10845.114666665,7769.95933333249,102.7,1566,3861.01,4,5.88,7744.7,41.95,8.21,2.21280746941404,0.751221934784232
2016,"云南省",0.0187004820792287,0.0050010479983232,4771,14788.42,16719.9,11768.76,101.5,1889,4812,3.6,2.16,11871.0438095238,44.61,11.93,3.0996478725634,0.802725633267368
2012,"湖北省",0.0213151064197958,0.00469285343485032,5779,22250.45,14533.9366666647,9979.7593333316,102.9,3078,4668,3.8,3.83,13419.7,61.59,13.56,3.85022495241391,0.603120386329265
2009,"新疆维吾尔自治区",0.0245947197776748,0.00818897637795276,2159,4277.05,7308.84657142637,7133.31371428445,100.7,1430,2466,3.8,2.61,3050.8,26.55,8.84,1.98103288559518,0.71329537882419
2015,"浙江省",0.0141722332551002,0.00504062105073118,5539,42886.49,35537.09,24116.88,101.4,2414,10755,2.9,7.37,33855.4066666672,39.25,13.96,7.74264127098754,0.789418921125679
2016,"天津市",0.0125736235595391,0.008348271446863,1562,17885.39,34074.46,26129.35,102.1,4058,12870,3.5,14.39,9125.4,9.82,6.52,11.4503137003841,0.510215320996635
2016,"新疆维吾尔自治区",0.0178565471226022,0.00780650542118432,2398,9649.7,18354.65,14066.46,101.4,1780,4204,2.5,4.48,7721.22285714303,21.41,9.36,4.02406171809842,0.800151596126619
2015,"安徽省",0.0240592447916667,0.0058984375,6144,22005.63,18362.57,12840.11,101.3,2309,5067,3.1,4.90000000000001,16116.1200000001,73.91,18.12,3.5816455078125,0.732363490615816
2010,"四川省",0.017775015537601,0.00549409571162213,8045,17185.48,9182.03409523563,7110.37990476051,103.2,1790,3985,4.1,4.0825563909774,13650.8,71.5,22.1,2.13616904909882,0.79432171810156
2013,"广东省",0.0164355505449079,0.00332581736189402,10644,62474.79,23420.75,17421,102.5,2199,8466,2.4,10.84,49891.3,87.47,17.7,5.86948421645998,0.798582916405161
2012,"江苏省",0.0224141414141414,0.00457575757575758,7920,54058.22,21844.2106666649,16385.3393333317,102.6,2786,6422.85,3.1,-1.09999999999999,30057.2,88.76,18.12,6.82553282828283,0.556015347897138
2018,"西藏自治区",0.017561369509044,0.00214147286821709,344,1477.63,17286.06,11520.23,101.7,1847.55555555556,5703.14138888894,2.09166666666664,2.86037593984952,831.039047619066,3.02055555555557,0.368333333333339,4.29543604651163,0.562413491617703
2015,"甘肃省",0.0169461538461538,0.00355384615384615,2600,6790.32,13466.59,10950.76,101.6,2194,4613,2.1,6.18000000000001,7333.16000000015,22.03,4.62,2.61166153846154,1.0799432132801
2009,"宁夏回族自治区",0.018112,0.004064,625,1353.31,8118.38180952193,7257.94495237991,100.7,1721,2824,4.4,4.23999999999999,967.7,5.66,1.27,2.165296,0.715061589731843
2013,"江苏省",0.0227686106562539,0.00545660662551959,7939,59753.37,24775.54,17925.75,102.3,2814,6650,3,-0.0600000000000023,33823.9,90.38,21.66,7.52656127975816,0.566058449925084
2011,"福建省",0.0205806451612903,0.00359139784946237,3720,17560.18,16489.401714283,13570.3006666652,105.3,2200,7451.95,3.7,-2.63,9068.6,38.28,6.68,4.72047849462366,0.51642978602725
2018,"青海省",0.0221531232725263,0.00561820526994658,603,2865.23,20757.26,16557.19,102.5,1390.97222222222,5459.06083333329,2.88611111111112,7.37528822055128,2434.27238095255,6.67916666666667,1.69388888888889,4.75162520729685,0.849590567232839
2017,"天津市",0.0122157996146435,0.00756583172768144,1557,18549.19,37022.33,27841.38,102.1,4072,15139,3.5,11.1,9558,9.51,5.89,11.9134168272319,0.51527856472439
2010,"云南省",0.017470664928292,0.0029986962190352,4602,7224.18,7830.4106666646,5697.97704761801,103.7,1391,2893,4.2,6.47518796992478,5720,40.2,6.9,1.56979139504563,0.791785365259448
2014,"四川省",0.019022113022113,0.00675675675675676,8140,28536.66,15749.01,12368.4,101.6,2244,5092,4.2,-1.77,25312.5,77.42,27.5,3.50573218673219,0.887016910878848
2017,"内蒙古自治区",0.0147884539343614,0.00797943851324634,2529,16096.21,26212.23,18945.54,101.7,1969,4239,3.6,0.790000000000006,10746.7342857146,18.7,10.09,6.36465401344405,0.667656192713351
2018,"贵州省",0.0268327160493828,0.00767669753086415,3600,14806.45,18430.18,13798.06,101.8,2257.88888888888,4215.2761111111,3.04999999999998,6.10804511278189,9848.04095238145,48.298888888889,13.8180555555555,4.11290277777778,0.665118306709673
