"","zipcode","total","information","professional","per"
"352",91387,2569,8,114,0.0474892954456987
"353",91390,1518,24,110,0.0882740447957839
"354",91392,276,NA,NA,NA
"355",91393,102,NA,NA,NA
"356",91394,30,NA,0,NA
"357",91395,5,NA,0,NA
"358",91396,4,NA,0,NA
"359",91401,9984,104,312,0.0416666666666667
"360",91402,14984,87,131,0.0145488521089162
"361",91403,15186,813,2138,0.194323719215066
"362",91404,32,NA,NA,NA
"363",91405,16769,946,140,0.0647623591150337
"364",91406,27969,581,978,0.0557402838857306
"365",91407,90,0,NA,NA
"366",91408,64,NA,0,NA
"367",91409,475,NA,4,NA
"368",91410,82,0,NA,NA
"369",91411,9547,359,773,0.118571278935791
"370",91412,151,NA,0,NA
"371",91413,173,0,15,0.0867052023121387
"372",91416,29,0,4,0.137931034482759
"373",91423,12497,456,1274,0.138433223973754
"374",91426,57,NA,0,NA
"375",91436,18744,1875,3594,0.291773367477593
"376",91501,2392,49,63,0.0468227424749164
"377",91502,21706,1701,1128,0.130332626923431
"378",91503,273,NA,16,NA
"379",91504,81882,66341,865,0.820766468820986
"380",91505,34365,7067,7965,0.437421795431398
"381",91506,14478,411,869,0.0884100013814063
"382",91507,19,0,NA,NA
"383",91510,750,0,0,0
"384",91521,8179,5009,920,0.724905245139993
"385",91522,2488,0,0,0
"386",91523,49,0,0,0
"387",91601,10822,872,753,0.150157087414526
"388",91602,5535,340,434,0.139837398373984
"389",91603,175,NA,NA,NA
"390",91604,12401,621,1026,0.132811870010483
"391",91605,17704,81,366,0.0252485314053321
"392",91606,8453,134,496,0.0745297527505028
"393",91607,5599,380,440,0.146454724057867
"394",91608,17021,14012,145,0.831737265730568
"395",91609,18,NA,NA,NA
"396",91610,70,0,0,0
"397",91614,33,0,0,0
"398",91615,146,NA,NA,NA
"399",91616,1,NA,NA,NA
"400",91617,6,NA,0,NA
"401",91702,17455,138,388,0.0301346319106273
"402",91706,35289,603,709,0.0371787242483493
"403",91709,15094,0,474,0.0314032065721479
"404",91710,46378,89,1335,0.0307042132045366
"405",91711,14899,38,800,0.0562453855963488
"406",91714,77,NA,NA,NA
"407",91715,1464,NA,17,NA
"408",91716,1455,NA,NA,NA
"409",91722,8112,0,198,0.0244082840236686
"410",91723,8068,91,273,0.0451165096678235
"411",91724,7052,0,510,0.0723199092456041
"412",91731,19170,216,428,0.0335941575378195
"413",91732,7079,41,91,0.0186467015115129
"414",91733,20288,51,482,0.0262716876971609
"415",91734,970,NA,0,NA
"416",91740,12143,100,854,0.0785637816025694
"417",91741,5525,14,223,0.04289592760181
"418",91744,13548,87,248,0.0247268969589607
"419",91745,16704,255,574,0.0496288314176245
"420",91746,19574,0,519,0.0265147644834985
"421",91747,472,NA,0,NA
"422",91748,31908,304,902,0.0377961639714178
"423",91749,628,NA,NA,NA
"424",91750,12164,70,367,0.0359256823413351
"425",91754,20868,252,1312,0.0749472877132452
"426",91755,4610,4,167,0.0370932754880694
"427",91759,91,NA,2,NA
"428",91765,19081,53,1275,0.0695980294533829
"429",91766,16700,401,304,0.0422155688622754
"430",91767,13900,0,436,0.0313669064748201
"431",91768,19582,0,355,0.0181288938821367
"432",91769,1265,0,NA,NA
"433",91770,17962,93,348,0.024551831644583
"434",91773,19159,1509,899,0.125685056631348
"435",91775,3074,9,96,0.0341574495770982
"436",91776,12821,91,1017,0.0864207160127915
"437",91778,992,NA,0,NA
"438",91780,6190,36,186,0.0358642972536349
"439",91788,289,0,9,0.0311418685121107
"440",91789,24563,117,1006,0.0457191711110206
"441",91790,14998,208,428,0.0424056540872116
"442",91791,10070,0,251,0.0249255213505462
"443",91792,4247,0,173,0.040734636213798
"444",91793,68,NA,NA,NA
"445",91801,17035,150,673,0.0483122982095685
"446",91802,453,NA,8,NA
"447",91803,9445,47,288,0.0354685018528322
"448",92397,546,NA,7,NA
"449",92821,43284,354,2656,0.0695407078828204
"450",92823,3362,0,162,0.0481856038072576
"451",93243,2374,NA,18,NA
"452",93510,1431,0,39,0.0272536687631027
"453",93523,769,NA,300,NA
"454",93532,2181,0,7,0.00320953690967446
"455",93534,26163,134,1060,0.0456369682375874
"456",93535,10793,70,140,0.0194570554989345
"457",93536,10871,0,138,0.0126943243491859
"458",93539,64,NA,0,NA
"459",93543,946,0,0,0
"460",93544,152,NA,NA,NA
"461",93550,17290,159,519,0.0392134181607866
"462",93551,14492,286,396,0.0470604471432515
"463",93552,3349,10,8,0.0053747387279785
"464",93553,450,NA,NA,NA
"465",93560,1718,0,41,0.0238649592549476
"466",93563,35,NA,NA,NA
"467",93584,47,NA,NA,NA
"468",93586,13,NA,NA,NA
"469",93590,174,NA,NA,NA
"470",93591,556,NA,0,NA
