"","Zip.Code","Information","Professional, Scientific, & Technical Skills","Total Employment","IT_Ratio"
"400",91617,0,0,6,0
"401",91702,138,388,17455,0.0301346319106273
"402",91706,603,709,35289,0.0371787242483493
"403",91709,0,474,15094,0.0314032065721479
"404",91710,89,1335,46378,0.0307042132045366
"405",91711,38,800,14899,0.0562453855963488
"406",91714,0,0,77,0
"407",91715,0,17,1464,0.0116120218579235
"408",91716,0,0,1455,0
"409",91722,0,198,8112,0.0244082840236686
"410",91723,91,273,8068,0.0451165096678235
"411",91724,0,510,7052,0.0723199092456041
"412",91731,216,428,19170,0.0335941575378195
"413",91732,41,91,7079,0.0186467015115129
"414",91733,51,482,20288,0.0262716876971609
"415",91734,0,0,970,0
"416",91740,100,854,12143,0.0785637816025694
"417",91741,14,223,5525,0.04289592760181
"418",91744,87,248,13548,0.0247268969589607
"419",91745,255,574,16704,0.0496288314176245
"420",91746,0,519,19574,0.0265147644834985
"421",91747,0,0,472,0
"422",91748,304,902,31908,0.0377961639714178
"423",91749,0,0,628,0
"424",91750,70,367,12164,0.0359256823413351
"425",91754,252,1312,20868,0.0749472877132452
"426",91755,4,167,4610,0.0370932754880694
"427",91759,0,2,91,0.021978021978022
"428",91765,53,1275,19081,0.0695980294533829
"429",91766,401,304,16700,0.0422155688622754
"430",91767,0,436,13900,0.0313669064748201
"431",91768,0,355,19582,0.0181288938821367
"432",91769,0,0,1265,0
"433",91770,93,348,17962,0.024551831644583
"434",91773,1509,899,19159,0.125685056631348
"435",91775,9,96,3074,0.0341574495770982
"436",91776,91,1017,12821,0.0864207160127915
"437",91778,0,0,992,0
"438",91780,36,186,6190,0.0358642972536349
"439",91788,0,9,289,0.0311418685121107
"440",91789,117,1006,24563,0.0457191711110206
"441",91790,208,428,14998,0.0424056540872116
"442",91791,0,251,10070,0.0249255213505462
"443",91792,0,173,4247,0.040734636213798
"444",91793,0,0,68,0
"445",91801,150,673,17035,0.0483122982095685
"446",91802,0,8,453,0.0176600441501104
"447",91803,47,288,9445,0.0354685018528322
"448",92397,0,7,546,0.0128205128205128
"449",92821,354,2656,43284,0.0695407078828204
"450",92823,0,162,3362,0.0481856038072576
"451",93243,0,18,2374,0.0075821398483572
"452",93510,0,39,1431,0.0272536687631027
"453",93523,0,300,769,0.390117035110533
"454",93532,0,7,2181,0.00320953690967446
"455",93534,134,1060,26163,0.0456369682375874
"456",93535,70,140,10793,0.0194570554989345
"457",93536,0,138,10871,0.0126943243491859
"458",93539,0,0,64,0
"459",93543,0,0,946,0
"460",93544,0,0,152,0
"461",93550,159,519,17290,0.0392134181607866
"462",93551,286,396,14492,0.0470604471432515
"463",93552,10,8,3349,0.0053747387279785
"464",93553,0,0,450,0
"465",93560,0,41,1718,0.0238649592549476
"466",93563,0,0,35,0
"467",93584,0,0,47,0
"468",93586,0,0,13,0
"469",93590,0,0,174,0
"470",93591,0,0,556,0
