"","id","county","chci09","chci10","chci11","chci12","chci13","chci14","chci15","chci16","chci17","pop09","pop10","pop11","pop12","pop13","pop14","pop15","pop16","pop17","chcig","chcigr","popg","popgr"
"1053",21119,"Knott County, Kentucky",115.01,116.84,116.34,117.55,119.41,119.07,120.42,121.84,123.51,11698,11299,11269,11239,11113,11035,10934,10913,10785,8.50000000000001,0.0739066168159292,-913,-0.0780475294922209
"1054",21121,"Knox County, Kentucky",113.12,113,113.69,115.52,115.86,117.09,118.22,118.31,117.04,21210,20852,21024,21112,21113,21187,21295,21288,21046,3.91999999999999,0.0346534653465345,-164,-0.00773220179160773
"1055",21123,"Larue County, Kentucky",123.21,123.75,123.6,123.94,125.04,125.78,125.91,126.84,128.58,9397,9639,9635,9675,9699,9800,9816,9905,9860,5.37,0.0435841246652058,463,0.0492710439501969
"1056",21125,"Laurel County, Kentucky",122.08,123.37,123.32,123.88,123.49,122.28,124.19,124.68,125.69,38375,39043,39460,39784,40098,40485,40652,40879,40974,3.61,0.0295707732634338,2599,0.0677263843648208
"1057",21127,"Lawrence County, Kentucky",115.71,116.6,118.46,118.56,119.83,123.35,124.21,123.86,123.67,11071,10714,10828,10828,10839,10863,10897,10899,10958,7.96000000000001,0.0687926713335063,-113,-0.0102068467166471
"1058",21129,"Lee County, Kentucky",113.3,114.44,115.15,113.94,114.88,117.14,116.54,114.79,116.82,5193,5625,5641,5652,5494,5613,5136,4962,4943,3.52,0.0310679611650485,-250,-0.0481417292509147
"1059",21131,"Leslie County, Kentucky",111.03,109.5,109.68,109.48,112.12,113.25,114.15,114.28,117.12,8183,7850,7894,7872,7842,7766,7724,7658,7534,6.08999999999999,0.0548500405295865,-649,-0.0793107662226567
"1060",21133,"Letcher County, Kentucky",120.21,120.83,118.95,121.09,121.79,122.74,122.52,122.72,123.9,16719,17044,17060,17061,16997,16904,16744,16557,16385,3.69000000000001,0.0306962815073622,-334,-0.0199772713679048
"1061",21135,"Lewis County, Kentucky",114.62,114.58,112.39,116.48,119.13,119.9,120.55,121.71,121.85,9479,9616,9515,9574,9503,9501,9505,9500,9518,7.23000000000002,0.063077996859187,39,0.00411435805464711
"1062",21137,"Lincoln County, Kentucky",117.69,119.42,120.08,119.86,120.77,122.51,122.18,121.5,123.15,16954,16612,16553,16621,16785,16775,16790,16801,16843,5.45999999999999,0.0463930665307162,-111,-0.00654712752152884
"1063",21139,"Livingston County, Kentucky",125.45,124.09,124.01,126.8,127.26,125.66,126.2,125.42,124.59,7029,6839,6795,6817,6827,6817,6813,6815,6743,-0.859999999999971,-0.00685532084495792,-286,-0.0406885758998435
"1064",21141,"Logan County, Kentucky",119.96,120.2,120.59,122.01,123.81,124.46,125.32,125.26,128.01,18487,18300,18232,18222,18341,18216,18250,18219,18311,8.05,0.0671057019006335,-176,-0.00952020338616325
"1065",21143,"Lyon County, Kentucky",126.15,125.75,128.23,129.96,129.53,132.74,135.38,135.25,131.98,6669,6532,6648,6644,6593,6672,6629,6584,6547,5.83,0.0462148236226714,-122,-0.0182935972409657
"1066",21145,"McCracken County, Kentucky",136.3,137.12,137.74,137.9,138.88,139.59,139.93,139.98,141.08,45379,45586,45827,45985,46094,46102,46038,46026,45970,4.77999999999997,0.0350696991929565,591,0.0130236452984861
"1067",21147,"McCreary County, Kentucky",113.35,113.49,116.35,115.08,115.77,116.45,117.63,118.04,118.14,12115,11958,12330,12408,12370,12667,12275,12283,12234,4.78999999999999,0.0422584913983237,119,0.00982253404869996
"1068",21149,"McLean County, Kentucky",124.33,122.64,124.68,124.56,125.32,125.28,126.33,126.3,128,6604,6533,6569,6557,6562,6576,6575,6578,6476,3.67,0.0295182176465857,-128,-0.0193821926105391
