,id,county,chci09,chci10,chci11,chci12,chci13,chci14,chci15,chci16,chci17,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,chcig,chcigr,popg,popgr,fips
899,20019,"Chautauqua County, Kansas",134.91,131.88,131.14,132.61,132.46,133.85,132.75,133.85,132.75,2774,2702,2697,2671,2652,2618,2548,2527,2490,-2.16,-0.016010674,-284,-0.102379236,20019
900,20021,"Cherokee County, Kansas",130.4,131.33,129.9,130.62,131.57,132.71,133.87,135.11,135.49,14446,14566,14602,14567,14483,14408,14336,14226,14012,5.09,0.039033742,-434,-0.030042918,20021
901,20023,"Cheyenne County, Kansas",132.46,132.12,133.88,136.39,137.14,135.88,139.56,142.29,142.04,2072,2017,2046,2066,2058,1984,1947,1889,1893,9.58,0.07232372,-179,-0.086389961,20023
902,20025,"Clark County, Kansas",135.5,137.11,140.07,140.34,142.22,145.84,144.62,143.57,147.87,1527,1557,1538,1526,1502,1548,1492,1485,1433,12.37,0.091291513,-94,-0.061558612,20025
903,20027,"Clay County, Kansas",136.12,136.69,135.59,138.63,139.94,142,143.16,143.49,142.31,6015,6001,5988,5944,5941,5922,5854,5792,5730,6.19,0.045474581,-285,-0.047381546,20027
904,20029,"Cloud County, Kansas",132.78,132.35,132.89,133.15,135.18,136.43,136.67,139.59,139.98,6390,6405,6404,6408,6358,6414,6354,6213,6194,7.2,0.054225034,-196,-0.030672926,20029
905,20031,"Coffey County, Kansas",136.02,136.72,137.57,137.2,136.95,136.77,138.64,138.33,138.33,5801,5917,5949,5978,5930,5950,5948,5946,5869,2.31,0.016982797,68,0.011722117,20031
906,20033,"Comanche County, Kansas",135.18,135.09,139.3,140.94,141.82,143.3,140.94,138.55,137.15,1336,1382,1362,1329,1332,1334,1393,1339,1228,1.97,0.014573162,-108,-0.080838323,20033
907,20035,"Cowley County, Kansas",135.6,135.43,135.69,136.09,136.66,137.25,137.58,137.48,138.21,22169,23389,23470,23483,23502,23436,23444,23421,23253,2.61,0.019247788,1084,0.048897109,20035
908,20037,"Crawford County, Kansas",140.65,141.47,142.98,142.02,143.29,144.66,144.53,144.45,145.08,22525,23450,23660,23771,23829,23902,23597,23503,23369,4.43,0.031496623,844,0.037469478,20037
909,20039,"Decatur County, Kansas",133.95,135.31,135.47,138.4,136.38,138.9,141.63,141.9,139.81,2293,2382,2356,2328,2297,2217,2195,2167,2165,5.86,0.043747667,-128,-0.055822067,20039
910,20041,"Dickinson County, Kansas",135.79,136.4,136.68,136.95,136.25,136.85,137.06,136.11,137.65,12865,13354,13434,13425,13379,13334,13394,13339,13182,1.86,0.013697621,317,0.024640497,20041
911,20043,"Doniphan County, Kansas",131.21,131.48,133.8,136.03,135.08,135.59,134.59,135.05,134.29,5064,5174,5169,5147,5160,5196,5133,5160,5113,3.08,0.023473821,49,0.009676145,20043
912,20045,"Douglas County, Kansas",163.32,163.83,164.24,163.71,165.07,164.66,164.8,165.6,166.22,60375,59845,60977,62136,63036,64125,64749,65863,67159,2.9,0.017756552,6784,0.112364389,20045
913,20047,"Edwards County, Kansas",133.51,134.12,134.48,135.96,135.99,133.77,131.22,131.28,132.35,2135,2203,2163,2147,2137,2092,2100,2085,2062,-1.16,-0.008688488,-73,-0.034192037,20047
914,20049,"Elk County, Kansas",134.19,133.41,134.55,134.69,134.71,135.3,134.97,134.96,134.16,2194,2183,2141,2110,2078,2065,2016,2038,1933,-0.03,-0.000223564,-261,-0.118960802,20049
915,20051,"Ellis County, Kansas",147.21,148.88,147.17,147.39,147.9,148.02,148.16,149.44,150.91,15299,16667,16900,17337,17336,17512,17534,17516,17221,3.7,0.025134162,1922,0.125629126,20051
916,20053,"Ellsworth County, Kansas",137.99,136.81,138.97,137.65,137.76,138.19,138.2,137.29,138.16,4493,4680,4736,4699,4647,4700,4683,4631,4612,0.17,0.001231973,119,0.026485644,20053
917,20055,"Finney County, Kansas",124.27,123.98,125.33,125.88,124.15,124.93,125.5,126.45,124.78,23196,20552,20678,21025,21337,21540,21536,21545,21627,0.51,0.004103967,-1569,-0.067640973,20055
918,20057,"Ford County, Kansas",121.94,123.6,123.26,124.35,122.94,122.58,122.98,124.16,123.68,19359,19233,19543,19724,19888,20243,20386,20281,20419,1.74,0.014269313,1060,0.054754894,20057
919,20059,"Franklin County, Kansas",135.04,135.24,136.54,137.21,137.93,138.78,139.3,138.44,138.84,16978,16700,16902,17033,17042,17001,16992,16959,16982,3.8,0.02813981,4,0.000235599,20059
920,20061,"Geary County, Kansas",137.71,138.31,138.87,138.44,139.27,138.38,139.32,138.96,141.09,16869,17336,18087,19017,19449,19762,19707,19630,19185,3.38,0.024544332,2316,0.13729326,20061
921,20063,"Gove County, Kansas",131.78,132.47,133.01,134.15,136.51,138.77,138.09,138.17,139.24,1835,2002,1982,1989,2013,2010,1978,1943,1934,7.46,0.056609501,99,0.053950954,20063
922,20065,"Graham County, Kansas",139.34,140.66,137.67,139.04,140.59,142.28,143.05,141.16,142.54,1853,1968,1998,1956,1937,1903,1917,1941,1934,3.2,0.022965408,81,0.043712898,20065
923,20067,"Grant County, Kansas",126.22,126.42,129.36,126.25,126.02,123.26,124.68,121.67,124.52,4806,4696,4634,4662,4774,4693,4755,4669,4613,-1.7,-0.013468547,-193,-0.040158136,20067
924,20069,"Gray County, Kansas",122.01,126.02,127.2,128.93,127.98,127.35,127.36,127.02,128.92,3506,3608,3660,3716,3750,3778,3778,3768,3743,6.91,0.056634702,237,0.067598403,20069
925,20071,"Greeley County, Kansas",139.03,135.45,135.02,133.59,137.89,133.99,137.77,140.3,141.04,833,844,917,903,889,858,894,872,831,2.01,0.014457311,-2,-0.00240096,20071
926,20073,"Greenwood County, Kansas",130.99,132.79,133.33,133.58,134.27,132.92,133.98,134.97,135.86,4861,4856,4807,4730,4677,4645,4596,4546,4521,4.87,0.037178411,-340,-0.069944456,20073
927,20075,"Hamilton County, Kansas",125.41,126.04,125.12,124.75,126.14,124.01,124.22,126.8,129.07,1580,1638,1718,1721,1774,1678,1710,1566,1615,3.66,0.029184276,35,0.022151899,20075
928,20077,"Harper County, Kansas",132.63,132.78,134.08,134.19,134.55,136.52,136.51,136.32,134.79,4059,4198,4191,4173,4139,4123,4087,4049,3989,2.16,0.016285908,-70,-0.017245627,20077
929,20079,"Harvey County, Kansas",140.64,141.31,141.47,141.34,141.19,140.92,142.1,143.86,146.52,21851,22278,22469,22641,22853,22898,22957,22978,22810,5.88,0.041808874,959,0.043888152,20079
